cis_section,cis_subsection,name,function,required,select,target,ignore_fix
1.3.1,1.3.1.1,Ensure SELinux is installed,CheckPackageAndInstall,libselinux,libselinux,libselinux,false
1.3.1,1.3.1.2,Ensure SElinux not disabled in bootloader configuration,ExecuteShellCommand,! grubby --info=ALL | grep -Po '(selinux|enforcing)=0\b',,grubby --update-kernel=ALL --remove-args="selinux=0 enforcing=0",false
1.3.1,1.3.1.3,Ensure SELinux policy is configured,ExecuteShellCommand,"grep -E '^\s*SELINUXTYPE=(targeted|mls)\b' /etc/selinux/config",/etc/selinux/config,sed -i 's/^\s*SELINUXTYPE=.*/SELINUXTYPE=targeted/' /etc/selinux/config,false
1.3.1,1.3.1.4,Ensure the SELinux mode is not disabled,ExecuteShellCommand,"grep -Ei '^\s*SELINUX=(enforcing|permissive)' /etc/selinux/config",/etc/selinux/config,sed -i 's/^\s*SELINUX=.*/SELINUX=enforcing/' /etc/selinux/config,false
1.3.1,1.3.1.5,Ensure the SELinux mode is enforcing,ExecuteShellCommand,"grep -E '^\s*SELINUX=enforcing\b' /etc/selinux/config",/etc/selinux/config,sed -i 's/^\s*SELINUX=.*/SELINUX=enforcing/' /etc/selinux/config,false
1.3.1,1.3.1.6,Ensure no unconfined services exist,ExecuteShellCommand,! ps -eZ | grep unconfined_service_t,,,true
